Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Charging Type,Seller Type,Date Listed,Month,Sales Volume,Source,Data Type
Tesla,Tesla Model 3,2021,38764.1628913941,27027.0,New,Phnom Penh,White,60/82,430-576,208,6.1,GB-T/CCS2,Private,09-12-2020,12,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2024,45384.20041361208,31745.0,New,Phnom Penh,Black,58/72.6,354-488,125,7.4,GB-T/CCS2,Dealer,24-07-2023,7,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2023,23221.964671491336,38480.0,New,Phnom Penh,Pearl White,51/64/77,350-520,125,7.7,GB-T/CCS2,Private,15-10-2023,10,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2023,45997.854577361286,29146.0,Like New,Phnom Penh,White,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Private,23-08-2025,8,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2022,26947.92084363494,6880.0,Excellent,Phnom Penh,Grey,40/62,240-385,110,7.0,GB-T/CCS2,Authorized Dealer,12-02-2024,2,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2023,24615.364023878887,2268.0,Like New,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Dealer,28-07-2023,7,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2025,50468.79640638217,20658.0,Fair,Phnom Penh,White,77.4,484,168,7.1,GB-T/CCS2,Authorized Dealer,25-10-2024,10,,Synthetic (New Formula),Synthetic
AION,AION Y Plus,2024,33343.99752994183,0.0,New,Phnom Penh,Blue,51.9/63.9,410-510,150,7.8,GB-T/CCS2,Private,09-07-2024,7,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2024,47588.68988400329,7956.0,Good,Phnom Penh,Pearl White,71.4,500,150,7.1,GB-T/CCS2,Private,07-01-2023,1,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2024,57511.740696557616,8998.0,Fair,Phnom Penh,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Dealer,18-05-2025,5,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2024,62213.34760047154,43953.0,New,Siem Reap,Black,66.5,419,168,8.0,GB-T/CCS2,Authorized Dealer,18-04-2023,4,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2025,45971.59936465735,30711.0,Like New,Battambang,Silver,71.4,500,150,7.1,GB-T/CCS2,Authorized Dealer,24-05-2023,5,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2025,46028.66909827858,11495.0,New,Phnom Penh,Silver,60/82,430-576,208,6.1,GB-T/CCS2,Private,22-06-2020,6,,Synthetic (New Formula),Synthetic
AION,AION Y Plus,2025,33661.219104235635,7344.0,New,Phnom Penh,Silver,51.9/63.9,410-510,150,7.8,GB-T/CCS2,Authorized Dealer,02-01-2025,1,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2024,27881.028886132175,4164.0,New,Phnom Penh,White,42.8,301,120,8.5,GB-T/CCS2,Authorized Dealer,24-07-2024,7,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2025,50468.79640638217,14310.0,Excellent,Phnom Penh,White,77.4,484,168,7.1,GB-T/CCS2,Authorized Dealer,05-09-2022,9,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2023,58306.94251945366,10940.0,Fair,Phnom Penh,White,66.5,419,168,8.0,GB-T/CCS2,Authorized Dealer,11-12-2021,12,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2024,26851.975880561655,42372.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Private,25-04-2020,4,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2024,46250.17832485244,0.0,Like New,Phnom Penh,Blue,71.4,500,150,7.1,GB-T/CCS2,Private,18-09-2025,9,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2024,25652.947063729986,24771.0,New,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,03-04-2023,4,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2024,24548.668785314014,30711.0,Like New,Kampot,Black,51/64/77,350-520,125,7.7,GB-T/CCS2,Authorized Dealer,26-05-2025,5,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2024,44431.33702486376,10080.0,Excellent,Kratie,White,58/72.6,354-488,125,7.4,GB-T/CCS2,Dealer,10-11-2022,11,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2024,46837.2466475156,16928.0,Good,Kep,White,40,200 PHEV,200,4.8,GB-T/CCS2,Dealer,13-07-2024,7,,Synthetic (New Formula),Synthetic
Nissan,Nissan Leaf,2021,24233.281170640817,29551.0,Excellent,Siem Reap,Silver,40/62,240-385,110,7.0,GB-T/CCS2,Authorized Dealer,13-08-2024,8,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2024,31166.68783500371,0.0,Excellent,Phnom Penh,Orange,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,21-04-2025,4,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2022,43243.826124900195,21014.0,Excellent,Phnom Penh,Grey,77.4,484,168,7.1,GB-T/CCS2,Authorized Dealer,19-03-2022,3,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2025,43297.887081255205,9735.0,New,Phnom Penh,Black,82/87.5,420-500,150,5.5,GB-T/CCS2,Authorized Dealer,02-10-2024,10,,Synthetic (New Formula),Synthetic
AION,AION Y Plus,2024,32043.80191804768,20482.0,Good,Phnom Penh,Silver,51.9/63.9,410-510,150,7.8,GB-T/CCS2,Dealer,02-07-2025,7,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2022,39503.85710919587,29636.0,New,Kratie,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Private,12-05-2023,5,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2021,30445.39531004151,9900.0,Excellent,Sihanoukville,Grey,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Private,18-02-2025,2,,Synthetic (New Formula),Synthetic
Denza,Denza D9,2022,74850.14251564059,26102.0,Excellent,Siem Reap,White,103,600,230,6.9,GB-T/CCS2,Authorized Dealer,08-01-2023,1,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2024,45638.391523204955,33528.0,New,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Dealer,02-06-2024,6,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr X,2023,50065.93589337156,30008.0,Excellent,Siem Reap,Blue,66,440,200,5.6,GB-T/CCS2,Authorized Dealer,13-08-2024,8,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2022,57470.293331385816,10630.0,Excellent,Sihanoukville,White,66.5,419,168,8.0,GB-T/CCS2,Authorized Dealer,02-11-2022,11,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2025,20089.55135302128,38480.0,New,Siem Reap,White,30/38.88,190-305,55,,GB-T/CCS2,Private,23-02-2024,2,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2023,41630.804010128624,17136.0,Like New,Kampot,Grey,60/82,430-576,208,6.1,GB-T/CCS2,Authorized Dealer,27-04-2024,4,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2025,36233.02921054685,11648.0,Like New,Phnom Penh,Grey,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Private,13-06-2022,6,,Synthetic (New Formula),Synthetic
AION,AION Y Plus,2024,32276.0007583805,0.0,Excellent,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,GB-T/CCS2,Dealer,17-10-2024,10,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2023,42825.86048127261,9900.0,New,Kep,White,40,200 PHEV,200,4.8,GB-T/CCS2,Dealer,13-07-2024,7,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2024,28447.567160526505,20540.0,Like New,Battambang,Green,50/60.5,340-420,150,7.3,GB-T/CCS2,Private,03-06-2022,6,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2022,39612.953035606784,4170.0,Like New,Battambang,Grey,40,200 PHEV,200,4.8,GB-T/CCS2,Private,02-01-2025,1,,Synthetic (New Formula),Synthetic
Arcfox,Arcfox Koala S,2024,26037.038894581387,33694.0,New,Phnom Penh,Black,42.8,301,120,8.5,GB-T/CCS2,Dealer,05-04-2024,4,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 2,2025,23846.38015933203,18080.0,Excellent,Phnom Penh,Black,45.1,312-401,130,7.9,GB-T/CCS2,Authorized Dealer,15-03-2024,3,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2023,41406.41345640088,14235.0,Like New,Phnom Penh,Black,71.4,500,150,7.1,GB-T/CCS2,Dealer,23-08-2023,8,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2024,55424.730600941424,19152.0,Like New,Phnom Penh,Grey,40,200 PHEV,330,4.8,GB-T/CCS2,Dealer,18-04-2024,4,,Synthetic (New Formula),Synthetic
AION,AION V,2024,39133.25318622306,17323.0,New,Phnom Penh,Black,68.8/80,480-610,165,7.1,GB-T/CCS2,Dealer,28-12-2024,12,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2024,25087.86145141632,44820.0,Excellent,Phnom Penh,Grey,51/64/77,350-520,125,7.7,GB-T/CCS2,Dealer,26-01-2024,1,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2022,43394.94589609327,20328.0,Excellent,Koh Kong,White,60/82,430-576,208,6.1,GB-T/CCS2,Private,03-05-2023,5,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2025,43397.440342873044,25146.0,Fair,Phnom Penh,Grey,58/72.6,354-488,125,7.4,GB-T/CCS2,Authorized Dealer,03-12-2021,12,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 5,2020,35205.57465106038,45360.0,New,Siem Reap,Black,58/72.6,354-488,125,7.4,GB-T/CCS2,Private,05-02-2022,2,,Synthetic (New Formula),Synthetic
Avatr,Avatr 07,2021,37672.68678921491,41750.0,New,Sihanoukville,Black,62.2/100.5,420-621,190,4.9,GB-T/CCS2,Private,25-09-2024,9,,Synthetic (New Formula),Synthetic
Avatr,Avatr 12,2021,60528.33336284107,26680.0,New,Kampong Cham,White,94.5,650,230,3.9,GB-T/CCS2,Dealer,03-04-2025,4,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2022,46443.71605260148,8073.0,Excellent,Phnom Penh,Blue,77.4,484,168,7.1,GB-T/CCS2,Private,03-07-2024,7,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 6,2023,50132.35686417667,48256.0,Fair,Phnom Penh,Silver,53/77.4,429-614,151,8.1,GB-T/CCS2,Authorized Dealer,21-01-2025,1,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2025,43297.887081255205,56880.0,Good,Phnom Penh,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Authorized Dealer,15-12-2022,12,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2025,59624.64596762436,28730.0,New,Kep,White,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Authorized Dealer,23-05-2023,5,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2025,58902.624930395585,6228.0,New,Phnom Penh,White,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,14-05-2022,5,,Synthetic (New Formula),Synthetic
MG,MG 5,2025,22004.110237479737,32310.0,Good,Phnom Penh,Black,61.1,403,130,7.7,GB-T/CCS2,Dealer,16-09-2025,9,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2024,43113.75908229737,10790.0,Excellent,Phnom Penh,Red,40,200 PHEV,200,4.8,GB-T/CCS2,Authorized Dealer,02-09-2022,9,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2024,58796.91383441042,52118.0,Like New,Siem Reap,Black,64.7,417,150,8.6,GB-T/CCS2,Authorized Dealer,14-05-2023,5,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2025,20089.55135302128,38484.0,Excellent,Kampong Cham,Red,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-07-2025,7,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2024,26253.267057867924,26675.0,New,Battambang,Black,51/64/77,350-520,125,7.7,GB-T/CCS2,Private,13-11-2022,11,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2025,29751.071813187205,20016.0,New,Battambang,Red,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,25-07-2025,7,,Synthetic (New Formula),Synthetic
BYD,BYD Tang,2024,61665.08516143572,33528.0,New,Sihanoukville,Silver,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,05-05-2021,5,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2025,45899.66508305761,1185.0,New,Battambang,Red,66/87.5,435-570,190,6.2,GB-T/CCS2,Private,25-03-2023,3,,Synthetic (New Formula),Synthetic
VinFast,VinFast VF 8,2021,38269.176964163,1183.0,New,Phnom Penh,White,82/87.5,420-500,150,5.5,GB-T/CCS2,Authorized Dealer,17-04-2024,4,,Synthetic (New Formula),Synthetic
BYD,BYD M9,2024,62181.38140470549,63056.0,New,Phnom Penh,Blue,52,180 PHEV,180,,GB-T/CCS2,Authorized Dealer,11-04-2025,4,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2025,45971.59936465735,22960.0,New,Phnom Penh,Grey,71.4,500,150,7.1,GB-T/CCS2,Dealer,23-06-2022,6,,Synthetic (New Formula),Synthetic
BYD,BYD Tang,2024,61440.43410859306,25564.0,Excellent,Phnom Penh,Black,86.4/108.8,400-530,180,4.6,GB-T/CCS2,Authorized Dealer,23-10-2020,10,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2025,27997.556212744083,25048.0,Good,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Dealer,10-04-2022,4,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2022,48930.77209060423,8832.0,Like New,Siem Reap,Grey,64.7,417,150,8.6,GB-T/CCS2,Dealer,19-10-2024,10,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2025,44994.647430030745,0.0,Like New,Battambang,Grey,40,200 PHEV,200,4.8,GB-T/CCS2,Authorized Dealer,10-07-2025,7,,Synthetic (New Formula),Synthetic
Zeekr,Zeekr 001,2023,72963.37843684915,8992.0,Excellent,Phnom Penh,Blue,86/100,560-620,200,3.3,GB-T/CCS2,Dealer,16-10-2024,10,,Synthetic (New Formula),Synthetic
Hyundai,Hyundai Ioniq 6,2021,46866.05961173619,27412.0,Good,Phnom Penh,White,53/77.4,429-614,151,8.1,GB-T/CCS2,Dealer,03-05-2023,5,,Synthetic (New Formula),Synthetic
AITO,AITO M5,2024,44316.99264952939,39558.0,Like New,Battambang,White,40,200 PHEV,200,4.8,GB-T/CCS2,Private,24-06-2022,6,,Synthetic (New Formula),Synthetic
BMW,BMW iX1,2024,56259.873195092725,25029.0,New,Phnom Penh,Black,64.7,417,150,8.6,GB-T/CCS2,Authorized Dealer,23-08-2022,8,,Synthetic (New Formula),Synthetic
Kia,Kia EV5,2021,31132.35631479255,14310.0,Excellent,Preah Vihear,Grey,64.2/88,400-600,160,7.5,GB-T/CCS2,Dealer,12-03-2023,3,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,18250.54476266786,8030.0,Like New,Kampong Cham,Red,30/38.88,190-305,55,,GB-T/CCS2,Dealer,04-07-2025,7,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2024,25177.55025817459,7928.0,Like New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,12-02-2025,2,,Synthetic (New Formula),Synthetic
MG,MG ZS EV,2022,26473.269459343996,72513.0,Excellent,Siem Reap,Grey,50.3/72.6,320-440,115,8.6,GB-T/CCS2,Private,05-05-2021,5,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2021,39518.14294103999,51168.0,New,Phnom Penh,White,60/82,430-576,208,6.1,GB-T/CCS2,Private,01-02-2023,2,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2022,17534.91569336891,41750.0,New,Phnom Penh,Grey,30/38.88,190-305,55,,GB-T/CCS2,Authorized Dealer,12-09-2023,9,,Synthetic (New Formula),Synthetic
BYD,BYD Han,2022,55086.58748693438,44820.0,Excellent,Phnom Penh,Black,76.9/85.4,500-610,180,3.9,GB-T/CCS2,Private,02-02-2022,2,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2021,57592.212601347834,35598.0,New,Phnom Penh,Black,66.5,419,168,8.0,GB-T/CCS2,Private,05-06-2021,6,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2023,54688.96869047554,28560.0,Good,Kampong Cham,White,40,200 PHEV,330,4.8,GB-T/CCS2,Dealer,01-07-2025,7,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2020,9370.05938508548,14235.0,Fair,Siem Reap,Grey,41.3,403,80,,GB-T/CCS2,Authorized Dealer,01-08-2022,8,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 6,2023,44518.24298518546,0.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Authorized Dealer,07-02-2024,2,,Synthetic (New Formula),Synthetic
AION,AION ES,2025,30948.87938735971,29551.0,Like New,Sihanoukville,Blue,55.6,410,150,7.5,GB-T/CCS2,Authorized Dealer,08-06-2024,6,,Synthetic (New Formula),Synthetic
Avatr,Avatr 12,2022,59418.842385434305,28106.0,New,Kampong Cham,White,94.5,650,230,3.9,GB-T/CCS2,Dealer,03-04-2025,4,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2022,27886.355788634042,56880.0,New,Sihanoukville,White,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,26-01-2023,1,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model Y,2022,51792.37500974733,3444.0,New,Phnom Penh,Blue,60/75/82,430-600,220,6.9,GB-T/CCS2,Private,17-08-2022,8,,Synthetic (New Formula),Synthetic
Mercedes,Mercedes EQB,2024,67698.3621410346,11984.0,Excellent,Phnom Penh,Black,66.5,419,168,8.0,GB-T/CCS2,Private,05-06-2021,6,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2022,52092.34283063199,31528.0,Fair,Battambang,Grey,40,200 PHEV,330,4.8,GB-T/CCS2,Dealer,16-04-2023,4,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2024,56640.273978733676,26102.0,Excellent,Phnom Penh,White,40,200 PHEV,330,4.8,GB-T/CCS2,Authorized Dealer,05-02-2022,2,,Synthetic (New Formula),Synthetic
Tesla,Tesla Model 3,2022,40399.743334235136,7928.0,New,Kep,Black,60/82,430-576,208,6.1,GB-T/CCS2,Authorized Dealer,23-07-2024,7,,Synthetic (New Formula),Synthetic
BYD,BYD Atto 3,2024,28447.55128176034,33012.0,Like New,Battambang,Red,50/60.5,340-420,150,7.3,GB-T/CCS2,Dealer,25-07-2025,7,,Synthetic (New Formula),Synthetic
AION,AION V,2020,32438.55642165129,1183.0,Excellent,Phnom Penh,Silver,68.8/80,480-610,165,7.1,GB-T/CCS2,Dealer,07-06-2024,6,,Synthetic (New Formula),Synthetic
Avatr,Avatr 12,2023,62549.470885458206,63056.0,Like New,Phnom Penh,White,94.5,650,230,3.9,GB-T/CCS2,Authorized Dealer,01-01-2025,1,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2024,13434.724253810988,57869.0,Like New,Sihanoukville,Blue,41.3,403,80,,GB-T/CCS2,Dealer,04-11-2022,11,,Synthetic (New Formula),Synthetic
Kia,Kia EV5,2025,36550.47924398757,11495.0,Like New,Phnom Penh,White,64.2/88,400-600,160,7.5,GB-T/CCS2,Dealer,17-07-2025,7,,Synthetic (New Formula),Synthetic
AION,AION Y Plus,2024,32778.153727282996,24465.0,Excellent,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,GB-T/CCS2,Private,04-04-2025,4,,Synthetic (New Formula),Synthetic
BYD,BYD Sealion 6,2023,43782.60294235306,0.0,Good,Phnom Penh,White,18.3,80-100 PHEV,145,8.5,GB-T/CCS2,Dealer,10-06-2023,6,,Synthetic (New Formula),Synthetic
Toyota,Toyota bZ4X,2024,46272.02829029348,24465.0,Fair,Phnom Penh,Blue,71.4,500,150,7.1,GB-T/CCS2,Private,18-09-2025,9,,Synthetic (New Formula),Synthetic
AITO,AITO M7,2025,57356.460286725756,40788.0,Good,Kampong Cham,White,40,200 PHEV,330,4.8,GB-T/CCS2,Dealer,01-07-2025,7,,Synthetic (New Formula),Synthetic
Kia,Kia EV5,2024,34726.68143811503,11605.0,New,Preah Vihear,Grey,64.2/88,400-600,160,7.5,GB-T/CCS2,Dealer,12-03-2023,3,,Synthetic (New Formula),Synthetic
MG,MG 5,2025,22004.110237479737,31590.0,New,Kep,Red,61.1,403,130,7.7,GB-T/CCS2,Dealer,23-09-2020,9,,Synthetic (New Formula),Synthetic
Deepal,Deepal S07,2023,48922.62118360448,17594.0,Like New,Phnom Penh,White,31.6/80,200 PHEV,190,6.7,GB-T/CCS2,Dealer,24-09-2024,9,,Synthetic (New Formula),Synthetic
BYD,BYD Seagull,2023,18104.790225677574,36686.0,New,Phnom Penh,White,30/38.88,190-305,55,,GB-T/CCS2,Dealer,11-05-2024,5,,Synthetic (New Formula),Synthetic
XPeng,XPeng G6,2022,39195.37587124986,7455.0,New,Kampot,Red,66/87.5,435-570,190,6.2,GB-T/CCS2,Private,03-01-2024,1,,Synthetic (New Formula),Synthetic
MG,MG 4 EV,2024,25065.126324066583,7288.0,New,Siem Reap,Silver,51/64/77,350-520,125,7.7,GB-T/CCS2,Dealer,15-07-2023,7,,Synthetic (New Formula),Synthetic
Kia,Kia EV6,2024,49619.20271552769,0.0,Like New,Phnom Penh,Black,77.4,484,168,7.1,GB-T/CCS2,Dealer,20-06-2022,6,,Synthetic (New Formula),Synthetic
BYD,BYD Seal,2023,34703.1326477024,35598.0,Excellent,Phnom Penh,Cosmos Black,61.4/82.5,400-550,150,3.8,GB-T/CCS2,Private,08-08-2023,8,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2021,11651.72486935966,29682.0,Fair,Phnom Penh,Blue,41.3,403,80,,GB-T/CCS2,Dealer,19-08-2023,8,,Synthetic (New Formula),Synthetic
AION,AION V,2025,39394.47130506377,5316.0,Like New,Phnom Penh,Black,68.8/80,480-610,165,7.1,GB-T/CCS2,Private,15-02-2025,2,,Synthetic (New Formula),Synthetic
Leapmotor,Leapmotor T03,2022,11999.856600788486,1766.0,Like New,Siem Reap,Grey,41.3,403,80,,GB-T/CCS2,Authorized Dealer,01-08-2022,8,,Synthetic (New Formula),Synthetic
BYD,BYD Dolphin,2025,25258.522554513802,56524.0,New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,GB-T/CCS2,Authorized Dealer,12-02-2025,2,,Synthetic (New Formula),Synthetic
AION,AION V,2022,36514.98624879812,0.0,Excellent,Phnom Penh,Black,68.8/80,480-610,165,7.1,GB-T/CCS2,Dealer,28-12-2024,12,,Synthetic (New Formula),Synthetic
